date,ETF,Sector,Close,Volume,return_5d,return_20d
2025-01-10,XLC.US,Communication Services,95.81,4797594,0.016490971714852254,0.07713182340048008
2025-01-13,XLC.US,Communication Services,95.85,6992466,0.02524778299426189,0.07845592070944196
2025-01-14,XLC.US,Communication Services,95.53,4194732,0.038940646917198674,0.08321993091175539
2025-01-15,XLC.US,Communication Services,97.1,4115715,0.024819773429454184,0.07796086508753874
2025-01-16,XLC.US,Communication Services,96.55,2943855,0.03997928534438122,0.0907301916105645
2025-01-17,XLC.US,Communication Services,97.39,3109150,0.036348701098675384,0.07629120032857584
2025-01-21,XLC.US,Communication Services,98.27,4817389,0.032054543604355334,0.06787422407652399
2025-01-22,XLC.US,Communication Services,99.25,5382656,0.026397984886650017,0.05239294710327469
2025-01-23,XLC.US,Communication Services,99.51,3721261,0.02472113355441663,0.03527283690081395
2025-01-24,XLC.US,Communication Services,100.41,3386856,0.019619559804800346,0.027985260432227932
2025-01-27,XLC.US,Communication Services,100.93,9407480,0.016546121074011655,0.0075299712672147745
2025-01-28,XLC.US,Communication Services,101.42,5445376,0.020705975152829792,0.0008873989351212419
2025-01-29,XLC.US,Communication Services,101.87,4797466,0.006380681260429899,-0.013154019829194064
2025-01-30,XLC.US,Communication Services,101.97,5113075,0.009708737864077666,0.00029420417769943086
2025-01-31,XLC.US,Communication Services,102.38,9102106,0.0035163117796443988,
2025-02-03,XLC.US,Communication Services,102.6,7196669,0.005847953216374435,
2025-02-04,XLC.US,Communication Services,103.52,5543642,-0.0014489953632147445,
2025-02-05,XLC.US,Communication Services,102.52,6058907,0.009364026531408554,
2025-02-06,XLC.US,Communication Services,102.96,2892008,0.01660839160839167,
2025-02-07,XLC.US,Communication Services,102.74,3142854,0.02501459996106692,
2025-02-10,XLC.US,Communication Services,103.2,3042190,0.01569767441860459,
2025-02-11,XLC.US,Communication Services,103.37,2564607,0.015188159040340432,
2025-02-12,XLC.US,Communication Services,103.48,5391894,0.009373792037108641,
2025-02-13,XLC.US,Communication Services,104.67,2833786,-0.015763829177414812,
2025-02-14,XLC.US,Communication Services,105.31,3425228,-0.019846168455037505,
2025-02-18,XLC.US,Communication Services,104.82,3447908,-0.029860713604274003,
2025-02-19,XLC.US,Communication Services,104.94,3469020,-0.03268534400609868,
2025-02-20,XLC.US,Communication Services,104.45,2984998,-0.03752991862134991,
2025-02-21,XLC.US,Communication Services,103.02,3639710,-0.00990099009900991,
2025-02-24,XLC.US,Communication Services,103.22,5415594,,
2025-02-25,XLC.US,Communication Services,101.69,6021620,,
2025-02-26,XLC.US,Communication Services,101.51,5079500,,
2025-02-27,XLC.US,Communication Services,100.53,3727307,,
2025-02-28,XLC.US,Communication Services,102.0,5690783,,
2024-01-02,XLY.US,Consumer Discretionary,87.0915,15631420,-0.012639580211616486,-0.03516875929338681
2024-01-03,XLY.US,Consumer Discretionary,85.3315,15787322,0.01578901109203512,0.0036785946573070216
2024-01-04,XLY.US,Consumer Discretionary,84.7312,12118082,0.021643739260154504,0.028839435768642563
2024-01-05,XLY.US,Consumer Discretionary,84.8639,12290739,0.007767731626757701,0.012748648129534468
2024-01-08,XLY.US,Consumer Discretionary,86.3096,8281390,-0.010257259910832595,0.0018155570179909652
2024-01-09,XLY.US,Consumer Discretionary,85.9907,8471983,-0.015279559301180301,0.01680530569003391
2024-01-10,XLY.US,Consumer Discretionary,86.6788,7754339,-0.017541774920741826,0.013149697503888058
2024-01-11,XLY.US,Consumer Discretionary,86.5651,8738445,-0.006750988562365223,0.02169118963647021
2024-01-12,XLY.US,Consumer Discretionary,85.5231,7571274,0.00091671139142524,0.03328223602745939
2024-01-16,XLY.US,Consumer Discretionary,85.4243,9129107,-0.0003500175008750439,0.013874272308933122
2024-01-17,XLY.US,Consumer Discretionary,84.6768,8097497,0.004661253141356347,0.033614874440224485
2024-01-18,XLY.US,Consumer Discretionary,85.1583,10095315,-0.013383310845801133,0.03966612767046773
2024-01-19,XLY.US,Consumer Discretionary,85.9807,9949716,-0.01836342341944186,0.023609949674752606
2024-01-22,XLY.US,Consumer Discretionary,85.6015,11374842,0.0004018621169021852,0.018437761020542842
